Date,Open,High,Low,Close,Adj Close,Volume
"April 20, 2026",421.15,423.33,416.3,418.07,41717.0,27582200
"April 17, 2026",424.82,431.58,420.69,422.79,4921.88,48568200
"April 16, 2026",419.86,420.82,412.14,420.26,419.35,41642
"April 15, 2026",398.0,414.37,396.73,411.22,410.33,45063400
"April 14, 2026",387.92,394.69,386.52,393.11,392.26,37504500
"April 13, 2026",373.61,384.54,371.02,384.37,383.54,35745800
"April 10, 2026",372.98,375.64,370.03,370.87,370.07,28111100
"April 09, 2026",372.5,373.5,367.05,373.07,372.26,30435300
"April 08, 2026",384.98,385.0,371.41,374.33,373.52,33064800
"April 07, 2026",370.34,372.45,366.56,372.29,371.49,21443300
"April 06, 2026",373.49,373.73,369.5,372.88,372.07,16146600
"April 02, 2026",367.21,373.64,364.15,373.46,372.65,24099100
"April 01, 2026",373.49,373.99,368.2,369.37,368.57,29417200
"March 31, 2026",364.55,372.9,363.07,370.17,369.37,45244400
"March 30, 2026",361.9,365.36,356.28,358.96,358.18,44797000
"March 27, 2026",361.9,362.45,356.51,356.77,356.0,37883400
"March 26, 2026",370.82,374.72,365.19,365.97,365.18,36836600
"March 25, 2026",376.92,377.06,369.63,371.04,370.24,31181200
"March 24, 2026",382.36,382.47,371.85,372.74,371.93,42733600
"March 23, 2026",383.9,387.21,381.68,383.0,382.17,29680100
"March 20, 2026",386.79,387.0,380.12,381.87,381.04,50853200
"March 19, 2026",390.1,392.49,387.06,389.02,388.18,25138800
"March 18, 2026",397.13,398.0,391.0,391.79,390.94,25908500
"March 17, 2026",400.27,404.4,397.75,399.41,398.55,26228300
"March 16, 2026",398.07,400.63,394.79,399.95,399.09,27733700
"March 13, 2026",401.0,404.8,394.25,395.55,394.7,26848000
"March 12, 2026",404.63,406.12,401.71,401.86,400.99,27263900
"March 11, 2026",405.57,409.01,401.59,404.88,404.0,25512100
"March 10, 2026",410.03,410.2,402.93,405.76,404.88,31706400
"March 09, 2026",404.92,410.21,403.5,409.41,408.53,30131900
"March 06, 2026",409.2,413.05,408.51,408.96,408.08,31123900
"March 05, 2026",404.42,411.61,404.4,410.68,409.79,39001300
"March 04, 2026",401.27,411.03,400.31,405.2,404.32,35808000
"March 03, 2026",393.14,406.7,392.67,403.93,403.06,38199200
"March 02, 2026",392.86,401.19,390.63,398.55,397.69,35474900
"February 27, 2026",390.88,396.82,389.88,392.74,391.89,51367200
"February 26, 2026",404.71,407.49,398.74,401.72,400.85,34405900
"February 25, 2026",390.53,401.47,390.16,400.6,399.73,43625500
"February 24, 2026",384.14,389.36,381.71,389.0,388.16,33884700
"February 23, 2026",395.0,395.36,383.1,384.47,383.64,43238300
"February 20, 2026",396.11,400.12,395.16,397.23,396.37,34015200
"February 19, 2026",400.69,404.43,396.67,398.46,397.6,28234000
"February 18, 2026",398.13,402.56,396.32,399.6,397.83,23223400
"February 17, 2026",399.22,400.52,394.53,396.86,395.1,32078800
"February 13, 2026",404.45,405.54,398.05,401.32,399.54,34091600
"February 12, 2026",405.0,406.2,398.01,401.84,400.06,40802400
"February 11, 2026",416.18,416.46,401.01,404.37,402.58,42491000
"February 10, 2026",419.62,423.68,412.7,413.27,411.44,44857900
"February 09, 2026",404.85,414.89,400.87,413.6,41177.0,45480500
"February 06, 2026",399.17,401.79,392.92,401.14,399.36,53515300
"February 05, 2026",407.44,408.3,392.32,393.67,391.92,66289200
"February 04, 2026",411.0,419.8,409.24,414.19,412.35,45012400
"February 03, 2026",422.01,422.05,408.56,411.21,409.39,61424100
"February 02, 2026",430.24,430.74,422.25,423.37,421.49,42219900
"January 30, 2026",439.17,439.6,426.45,430.29,428.38,58566800
"January 29, 2026",439.99,442.5,421.02,433.5,431.58,128855300
"January 28, 2026",483.21,483.74,478.0,481.63,479.49,36875400
"January 27, 2026",473.7,482.87,473.16,480.58,478.45,29213900
"January 26, 2026",465.31,474.25,462.0,470.28,468.2,29291200
"January 23, 2026",451.87,471.1,450.53,465.95,463.88,38000200
"January 22, 2026",447.62,452.84,444.7,451.14,449.14,25349400
"January 21, 2026",452.6,452.69,438.68,444.11,442.14,37980500
"January 20, 2026",451.22,456.8,449.28,454.52,452.5,26130000
"January 16, 2026",457.83,463.19,456.48,459.86,457.82,34246700
"January 15, 2026",464.12,464.25,455.9,456.66,454.64,23226800
"January 14, 2026",466.46,468.2,457.17,459.38,457.34,28184300
"January 13, 2026",474.68,475.78,465.95,470.67,468.58,28545800
"January 12, 2026",476.67,480.99,475.68,477.18,475.06,23519900
"January 09, 2026",474.06,479.82,472.2,479.28,477.16,18491000
"January 08, 2026",481.24,482.66,475.86,478.11,475.99,18162600
"January 07, 2026",479.76,489.7,477.95,483.47,481.33,25564200
"January 06, 2026",473.8,478.74,469.75,478.51,476.39,23037700
"January 05, 2026",474.06,478.07,469.5,472.85,4710.75,25250300
"January 02, 2026",484.39,484.66,470.16,472.94,470.84,25571600
"December 31, 2025",487.84,488.14,483.3,483.62,481.48,15601600
"December 30, 2025",485.93,489.68,485.5,487.48,485.32,13944500
"December 29, 2025",484.86,488.35,484.18,487.1,484.94,10893400
"December 26, 2025",486.71,48812.0,485.96,48771.0,485.55,8842200
"December 24, 2025",485.68,489.16,484.83,488.02,485.86,5855900
"December 23, 2025",484.98,487.83,484.74,486.85,434.69,14683600
"December 22, 2025",486.12,488.73,482.69,484.92,482.77,16963000
"December 19, 2025",487.36,487.85,482.49,485.92,483.77,70836100
"December 18, 2025",478.19,489.6,477.89,483.98,481.83,28573500
"December 17, 2025",476.91,480.0,475.0,476.12,474.01,24527200
"December 16, 2025",471.91,477.89,470.88,476.39,474.28,20705600
"December 12, 2025",479.82,482.45,476.34,478.53,476.41,21248100
"December 11, 2025",476.63,486.03,475.86,483.47,481.33,24669200
"December 04, 2025",479.76,481.32,478.49,480.84,478.71,22318200
"December 03, 2025",476.32,484.24,475.2,477.73,475.61,34615100
"December 02, 2025",486.72,493.5,486.32,490.0,487.83,19562700
"December 01, 2025",488.44,489.86,484.65,486.74,484.58,23964000
"November 28, 2025",487.6,492.63,486.65,492.01,489.83,14386700
"November 26, 2025",486.31,488.31,481.2,485.5,483.35,25709100
"November 25, 2025",474.07,479.15,464.89,476.39,474.88,28019800
"November 24, 2025",475.0,476.9,468.02,474.0,471.9,34421000
"November 21, 2025",478.5,478.92,468.27,472.12,470.03,31769200
"November 20, 2025",492.71,493.57,475.5,478.43,476.31,26802500
"November 19, 2025",490.1,495.19,482.83,487.12,484.05,23245300
"November 18, 2025",495.37,502.98,486.78,493.79,490.68,33815100
"November 17, 2025",508.45,512.12,504.91,507.49,504.3,19092800
"November 14, 2025",498.23,511.6,497.44,510.18,506.97,28505700
"November 13, 2025",510.31,513.5,501.29,503.29,500.12,25273100
"November 12, 2025",509.36,511.67,499.12,511.14,510.19,26574900
"November 11, 2025",504.8,509.6,502.35,508.68,505.48,17980000
"November 10, 2025",500.04,506.85,498.8,506.0,502.82,26101500
"November 07, 2025",496.95,499.38,493.25,496.82,493.69,24019800
"November 06, 2025",505.66,505.7,495.81,497.1,493.97,27406500
"November 05, 2025",513.3,514.83,506.58,507.16,503.97,23024300
"November 04, 2025",511.76,515.55,507.84,514.33,511.09,20958700
"November 03, 2025",519.81,524.96,514.59,517.03,513.78,22374700
"October 31, 2025",528.88,529.32,515.1,517.81,514.55,34006400
"October 30, 2025",530.48,534.97,522.12,525.76,522.45,41023100
"October 29, 2025",544.94,546.27,536.73,541.55,538.14,36023000
"October 28, 2025",550.0,553.72,540.77,542.07,538.66,29986700
"October 27, 2025",531.78,534.58,529.01,531.52,528.17,18734700
"October 24, 2025",522.79,525.35,520.71,523.61,520.31,15532400
"October 23, 2025",522.46,523.95,518.61,520.56,517.28,14023500
"October 22, 2025",521.15,525.23,517.71,520.54,517.26,18962700
"October 21, 2025",517.5,518.69,513.04,517.66,514.4,15596200
"October 20, 2025",514.61,518.7,513.43,516.79,513.54,14665600
"October 17, 2025",509.04,515.48,507.31,513.58,510.35,19867800
"October 16, 2025",512.58,516.85,508.13,511.61,508.39,15559600
"October 15, 2025",514.96,517.19,510.0,513.43,510.2,14694700
"October 14, 2025",510.23,516.28,506.0,513.57,510.34,14684
"October 13, 2025",516.41,516.41,511.68,514.05,510.81,14284200
"October 10, 2025",519.64,523.58,509.63,510.96,507.74,24133800
